Rk,Player,TEAM,RD,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Jonas Valanciunas,TR,RW,25,6,6,148,33,57,2,3,13,15,14,42,56,6,4,8,10,12,81,0.579,0.667,0.867,24.6,13.5,9.3,1,0.7,1.3
2,Serge Ibaka,TR,RW,28,6,6,172,19,44,6,14,9,13,7,35,42,7,1,8,9,12,53,0.432,0.429,0.692,28.7,8.8,7,1.2,0.2,1.3
3,Kyle Lowry,TR,RW,31,6,6,217,36,76,17,39,14,18,2,27,29,50,12,0,18,22,103,0.474,0.436,0.778,36.1,17.2,4.8,8.3,2,0
4,Jakob Poeltl,TR,RW,22,6,0,96,14,22,0,1,9,13,12,14,26,5,2,3,7,20,37,0.636,0,0.692,16.1,6.2,4.3,0.8,0.3,0.5
5,Pascal Siakam,TR,RW,23,6,0,96,14,25,2,3,8,12,6,18,24,5,1,6,3,13,38,0.56,0.667,0.667,16,6.3,4,0.8,0.2,1
6,DeMar DeRozan,TR,RW,28,6,6,218,58,133,10,26,34,42,3,17,20,29,2,1,15,9,160,0.436,0.385,0.81,36.4,26.7,3.3,4.8,0.3,0.2
7,Delon Wright,TR,RW,25,6,0,149,23,50,7,15,11,12,3,12,15,16,14,6,7,7,64,0.46,0.467,0.917,24.8,10.7,2.5,2.7,2.3,1
8,OG Anunoby,TR,RW,20,6,6,131,16,27,7,15,8,9,5,8,13,3,5,3,3,12,47,0.593,0.467,0.889,21.9,7.8,2.2,0.5,0.8,0.5
9,C.J. Miles,TR,RW,30,6,0,128,17,40,12,31,10,11,0,10,10,4,4,1,5,10,56,0.425,0.387,0.909,21.4,9.3,1.7,0.7,0.7,0.2
10,Fred VanVleet,TR,RW,23,2,0,22,2,8,1,6,0,0,0,4,4,4,0,0,2,1,5,0.25,0.167,,10.8,2.5,2,2,0,0
11,Lorenzo Brown,TR,RW,27,2,0,19,2,7,1,3,0,0,1,2,3,1,0,1,1,2,5,0.286,0.333,,9.3,2.5,1.5,0.5,0,0.5
12,Lucas Nogueira,TR,RW,25,3,0,20,0,1,0,0,1,2,0,1,1,1,0,0,2,5,1,0,,0.5,6.5,0.3,0.3,0.3,0,0
13,Norman Powell,TR,RW,24,4,0,24,1,7,1,5,2,2,0,0,0,2,0,0,1,3,5,0.143,0.2,1,6.1,1.3,0,0.5,0,0
1,John Wall,WW,RW,27,6,6,234,56,127,4,21,40,47,3,31,34,69,14,8,27,16,156,0.441,0.19,0.851,39.1,26,5.7,11.5,2.3,1.3
2,Bradley Beal,WW,RW,24,6,6,216,49,108,21,45,20,23,2,18,20,17,7,2,15,19,139,0.454,0.467,0.87,35.9,23.2,3.3,2.8,1.2,0.3
3,Mike Scott,WW,RW,29,6,0,126,26,41,7,11,6,6,6,15,21,4,2,1,5,10,65,0.634,0.636,1,21,10.8,3.5,0.7,0.3,0.2
4,Markieff Morris,WW,RW,28,6,6,181,24,49,2,12,9,10,14,31,45,10,4,5,6,22,59,0.49,0.167,0.9,30.2,9.8,7.5,1.7,0.7,0.8
5,Kelly Oubre,WW,RW,22,6,1,148,18,48,4,19,16,18,1,22,23,4,6,3,5,16,56,0.375,0.211,0.889,24.7,9.3,3.8,0.7,1,0.5
6,Marcin Gortat,WW,RW,33,6,6,160,24,43,0,0,4,7,13,25,38,6,0,2,6,15,52,0.558,,0.571,26.6,8.7,6.3,1,0,0.3
7,Otto Porter,WW,RW,24,5,5,158,20,41,5,12,5,8,1,24,25,8,6,5,3,6,50,0.488,0.417,0.625,31.6,10,5,1.6,1.2,1
8,Ian Mahinmi,WW,RW,31,6,0,52,10,14,0,0,10,11,4,7,11,1,4,5,1,10,30,0.714,,0.909,8.7,5,1.8,0.2,0.7,0.8
9,Ty Lawson,WW,RW,30,5,0,96,9,26,5,8,6,6,2,11,13,15,3,0,3,6,29,0.346,0.625,1,19.3,5.8,2.6,3,0.6,0
10,Tomas Satoransky,WW,RW,26,6,0,60,2,13,0,3,3,4,5,4,9,3,0,0,3,4,7,0.154,0,0.75,10,1.2,1.5,0.5,0,0
11,Tim Frazier,WW,RW,27,2,0,6,0,1,0,0,0,0,0,1,1,3,1,0,0,2,0,0,,,3,0,0.5,1.5,0.5,0
12,Jason Smith,WW,RW,31,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.2,0,0,0,0,0
1,Al Horford,BC,BM,31,7,7,245,47,80,7,16,26,34,14,47,61,23,5,10,17,19,127,0.588,0.438,0.765,35,18.1,8.7,3.3,0.7,1.4
2,Jaylen Brown,BC,BM,21,7,7,244,50,107,17,45,8,15,6,27,33,10,7,3,8,21,125,0.467,0.378,0.533,34.8,17.9,4.7,1.4,1,0.4
3,Terry Rozier,BC,BM,23,7,7,252,39,94,21,55,24,30,4,26,30,47,8,4,11,13,123,0.415,0.382,0.8,35.9,17.6,4.3,6.7,1.1,0.6
4,Jayson Tatum,BC,BM,19,7,7,233,37,92,8,26,26,30,5,32,37,22,11,4,11,14,108,0.402,0.308,0.867,33.3,15.4,5.3,3.1,1.6,0.6
5,Marcus Morris,BC,BM,28,7,0,193,33,85,10,22,17,26,5,29,34,6,3,0,9,20,93,0.388,0.455,0.654,27.6,13.3,4.9,0.9,0.4,0
6,Aron Baynes,BC,BM,31,7,4,122,17,27,2,3,1,2,19,22,41,8,1,2,4,13,37,0.63,0.667,0.5,17.4,5.3,5.9,1.1,0.1,0.3
7,Shane Larkin,BC,BM,25,7,0,110,13,26,3,11,3,3,1,4,5,15,4,0,5,10,32,0.5,0.273,1,15.7,4.6,0.7,2.1,0.6,0
8,Greg Monroe,BC,BM,27,5,0,59,9,23,0,0,10,15,11,11,22,4,0,1,8,2,28,0.391,,0.667,11.7,5.6,4.4,0.8,0,0.2
9,Marcus Smart,BC,BM,23,3,0,83,6,23,0,8,8,8,2,9,11,11,4,4,9,8,20,0.261,0,1,27.6,6.7,3.7,3.7,1.3,1.3
10,Semi Ojeleye,BC,BM,23,7,3,127,5,17,3,12,2,2,4,16,20,1,0,0,2,10,15,0.294,0.25,1,18.1,2.1,2.9,0.1,0,0
11,Abdel Nader,BC,BM,24,4,0,14,2,6,0,2,2,2,1,1,2,2,1,1,0,1,6,0.333,0,1,3.5,1.5,0.5,0.5,0.3,0.3
12,Guerschon Yabusele,BC,BM,22,5,0,24,1,5,0,3,1,3,3,3,6,2,2,0,0,5,3,0.2,0,0.333,4.8,0.6,1.2,0.4,0.4,0
1,Giannis Antetokounmpo,MB,BM,23,7,7,280,69,121,4,14,38,55,8,59,67,44,10,6,17,28,180,0.57,0.286,0.691,40,25.7,9.6,6.3,1.4,0.9
2,Khris Middleton,MB,BM,26,7,7,275,67,112,25,41,14,19,1,35,36,22,6,5,16,30,173,0.598,0.61,0.737,39.3,24.7,5.1,3.1,0.9,0.7
3,Eric Bledsoe,MB,BM,28,7,7,225,37,84,7,22,14,20,3,22,25,26,7,6,15,19,95,0.44,0.318,0.7,32.1,13.6,3.6,3.7,1,0.9
4,Jabari Parker,MB,BM,22,7,0,167,28,62,6,19,8,13,8,35,43,10,7,4,6,15,70,0.452,0.316,0.615,23.9,10,6.1,1.4,1,0.6
5,Malcolm Brogdon,MB,BM,25,7,5,186,24,55,5,19,8,10,3,21,24,17,1,0,12,14,61,0.436,0.263,0.8,26.6,8.7,3.4,2.4,0.1,0
6,Thon Maker,MB,BM,20,6,2,130,11,28,6,20,5,7,6,17,23,5,2,11,4,17,33,0.393,0.3,0.714,21.6,5.5,3.8,0.8,0.3,1.8
7,Shabazz Muhammad,MB,BM,25,4,0,29,9,20,4,5,3,5,0,4,4,0,2,1,2,2,25,0.45,0.8,0.6,7.2,6.3,1,0,0.5,0.3
8,John Henson,MB,BM,27,2,2,74,9,13,0,0,1,2,4,8,12,5,0,7,4,4,19,0.692,,0.5,37.1,9.5,6,2.5,0,3.5
9,Tony Snell,MB,BM,26,7,2,134,7,24,5,21,0,0,1,12,13,4,3,4,3,10,19,0.292,0.238,,19.1,2.7,1.9,0.6,0.4,0.6
10,Matthew Dellavedova,MB,BM,27,6,0,78,4,12,2,9,2,2,1,4,5,16,2,0,6,6,12,0.333,0.222,1,12.9,2,0.8,2.7,0.3,0
11,Tyler Zeller,MB,BM,28,7,3,66,4,5,0,0,3,4,2,12,14,3,4,3,1,11,11,0.8,,0.75,9.4,1.6,2,0.4,0.6,0.4
12,Sterling Brown,MB,BM,22,3,0,13,3,5,1,3,0,0,1,1,2,0,1,0,0,2,7,0.6,0.333,,4.2,2.3,0.7,0,0.3,0
13,Jason Terry,MB,BM,40,3,0,44,2,5,2,5,0,0,1,1,2,2,1,0,1,2,6,0.4,0.4,,14.6,2,0.7,0.7,0.3,0
14,Brandon Jennings,MB,BM,28,1,0,5,0,2,0,2,2,2,0,0,0,0,0,0,1,0,2,0,0,1,4.9,2,0,0,0,0
1,J.J. Redick,PS,PM,33,5,5,160,30,66,13,37,27,29,1,3,4,13,4,1,5,8,100,0.455,0.351,0.931,32,20,0.8,2.6,0.8,0.2
2,Ben Simmons,PS,PM,21,5,5,188,33,66,0,1,25,35,12,41,53,45,12,3,20,19,91,0.5,0,0.714,37.5,18.2,10.6,9,2.4,0.6
3,Marco Belinelli,PS,PM,31,5,0,154,28,62,11,30,16,20,1,12,13,12,6,0,1,10,83,0.452,0.367,0.8,30.8,16.6,2.6,2.4,1.2,0
4,Dario Saric,PS,PM,23,5,5,149,29,74,12,32,13,14,15,19,34,17,4,1,10,15,83,0.392,0.375,0.929,29.7,16.6,6.8,3.4,0.8,0.2
5,Joel Embiid,PS,PM,23,3,3,91,15,36,3,8,23,33,5,26,31,6,4,9,15,13,56,0.417,0.375,0.697,30.4,18.7,10.3,2,1.3,3
6,Ersan Ilyasova,PS,PM,30,5,1,135,23,45,6,17,2,6,12,34,46,5,5,1,8,15,54,0.511,0.353,0.333,26.9,10.8,9.2,1,1,0.2
7,Robert Covington,PS,PM,27,5,5,149,16,42,9,24,6,9,5,23,28,17,4,5,7,16,47,0.381,0.375,0.667,29.9,9.4,5.6,3.4,0.8,1
8,Amir Johnson,PS,PM,30,5,1,77,11,21,0,0,4,5,13,8,21,7,2,1,3,7,26,0.524,,0.8,15.3,5.2,4.2,1.4,0.4,0.2
9,T.J. McConnell,PS,PM,25,5,0,41,6,10,0,1,3,4,1,8,9,5,2,0,3,5,15,0.6,0,0.75,8.2,3,1.8,1,0.4,0
10,Justin Anderson,PS,PM,24,4,0,24,3,7,2,6,0,0,1,6,7,0,0,0,2,4,8,0.429,0.333,,5.9,2,1.8,0,0,0
11,Markelle Fultz,PS,PM,19,3,0,23,1,7,0,0,3,4,0,3,3,5,2,0,1,4,5,0.143,,0.75,7.6,1.7,1,1.7,0.7,0
12,Furkan Korkmaz,PS,PM,20,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,1,1,,1.6,3,0,0,0,0
13,Richaun Holmes,PS,PM,24,2,0,9,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,,,,4.6,0,0.5,0.5,0,0
1,Goran Dragic,MH,PM,31,5,5,156,35,75,8,21,15,22,3,10,13,23,5,0,15,15,93,0.467,0.381,0.682,31.3,18.6,2.6,4.6,1,0
2,Dwyane Wade,MH,PM,36,5,0,127,31,70,0,4,21,26,3,18,21,18,7,1,11,11,83,0.443,0,0.808,25.5,16.6,4.2,3.6,1.4,0.2
3,Kelly Olynyk,MH,PM,26,5,0,146,21,44,8,19,14,20,7,16,23,19,7,6,8,19,64,0.477,0.421,0.7,29.2,12.8,4.6,3.8,1.4,1.2
4,James Johnson,MH,PM,30,5,5,161,23,42,7,13,9,14,3,27,30,24,6,6,10,17,62,0.548,0.538,0.643,32.1,12.4,6,4.8,1.2,1.2
5,Justise Winslow,MH,PM,21,5,0,125,15,42,7,19,12,17,7,26,33,13,4,4,8,17,49,0.357,0.368,0.706,25,9.8,6.6,2.6,0.8,0.8
6,Josh Richardson,MH,PM,24,5,5,130,15,40,6,19,6,7,4,11,15,14,11,5,5,17,42,0.375,0.316,0.857,25.9,8.4,3,2.8,2.2,1
7,Tyler Johnson,MH,PM,25,5,5,81,14,26,6,10,6,7,1,7,8,4,2,0,2,14,40,0.538,0.6,0.857,16.2,8,1.6,0.8,0.4,0
8,Wayne Ellington,MH,PM,30,5,0,101,12,35,12,30,3,3,1,7,8,3,2,2,3,9,39,0.343,0.4,1,20.1,7.8,1.6,0.6,0.4,0.4
9,Hassan Whiteside,MH,PM,28,5,5,77,9,20,0,0,8,13,10,20,30,1,0,6,12,16,26,0.45,,0.615,15.4,5.2,6,0.2,0,1.2
10,Bam Adebayo,MH,PM,20,5,0,77,7,15,0,1,3,14,9,11,20,0,0,2,2,8,17,0.467,0,0.214,15.4,3.4,4,0,0,0.4
11,Rodney McGruder,MH,PM,26,4,0,16,1,4,0,2,0,0,0,4,4,0,0,0,0,3,2,0.25,0,,4,0.5,1,0,0,0
12,Luke Babbitt,MH,PM,28,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.7,0,0,0,0,0
1,LeBron James,CC,CI,33,7,7,288,83,150,12,34,63,77,14,56,70,54,10,7,26,17,241,0.553,0.353,0.818,41.2,34.4,10,7.7,1.4,1
2,Kevin Love,CC,CI,29,7,7,229,27,81,14,35,12,14,21,44,65,7,4,2,16,19,80,0.333,0.4,0.857,32.7,11.4,9.3,1,0.6,0.3
3,J.R. Smith,CC,CI,32,7,6,230,21,65,15,48,3,4,4,18,22,7,8,2,11,21,60,0.323,0.313,0.75,32.8,8.6,3.1,1,1.1,0.3
4,Kyle Korver,CC,CI,36,7,6,161,17,45,16,40,8,9,2,17,19,6,4,2,6,10,58,0.378,0.4,0.889,23,8.3,2.7,0.9,0.6,0.3
5,Rodney Hood,CC,CI,25,7,1,132,18,39,2,12,6,8,0,7,7,7,3,1,8,14,44,0.462,0.167,0.75,18.8,6.3,1,1,0.4,0.1
6,Jeff Green,CC,CI,31,7,1,146,13,38,6,19,7,12,2,13,15,11,3,4,3,11,39,0.342,0.316,0.583,20.8,5.6,2.1,1.6,0.4,0.6
7,George Hill,CC,CI,31,4,3,81,10,19,2,8,15,19,3,7,10,8,1,1,7,10,37,0.526,0.25,0.789,20.3,9.3,2.5,2,0.3,0.3
8,Larry Nance,CC,CI,25,7,0,137,16,24,0,0,4,10,8,23,31,5,6,4,5,15,36,0.667,,0.4,19.6,5.1,4.4,0.7,0.9,0.6
9,Jordan Clarkson,CC,CI,25,7,0,127,13,40,2,14,3,4,2,8,10,8,1,1,5,6,31,0.325,0.143,0.75,18.2,4.4,1.4,1.1,0.1,0.1
10,Tristan Thompson,CC,CI,26,4,1,58,6,9,0,0,6,8,7,9,16,3,1,1,5,3,18,0.667,,0.75,14.6,4.5,4,0.8,0.3,0.3
11,Jose Calderon,CC,CI,36,5,3,76,6,19,4,15,0,0,1,4,5,4,4,0,5,13,16,0.316,0.267,,15.3,3.2,1,0.8,0.8,0
12,Cedi Osman,CC,CI,22,3,0,10,1,4,0,2,0,2,0,1,1,0,1,0,0,3,2,0.25,0,0,3.4,0.7,0.3,0,0.3,0
13,Ante Zizic,CC,CI,21,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,,,4.2,2,0,0,0,0
1,Victor Oladipo,IP,CI,25,7,7,261,53,127,23,57,30,41,3,55,58,42,17,3,24,11,159,0.417,0.404,0.732,37.3,22.7,8.3,6,2.4,0.4
2,Bojan Bogdanovic,IP,CI,28,7,7,238,32,81,17,45,6,10,1,23,24,13,6,0,13,23,87,0.395,0.378,0.6,34,12.4,3.4,1.9,0.9,0
3,Domantas Sabonis,IP,CI,21,7,0,166,36,62,1,7,14,18,14,18,32,5,1,2,7,22,87,0.581,0.143,0.778,23.7,12.4,4.6,0.7,0.1,0.3
4,Myles Turner,IP,CI,21,7,7,196,33,54,6,13,15,19,6,30,36,4,2,4,11,25,87,0.611,0.462,0.789,28,12.4,5.1,0.6,0.3,0.6
5,Darren Collison,IP,CI,30,7,7,214,31,68,8,23,9,12,1,20,21,33,7,0,9,7,79,0.456,0.348,0.75,30.6,11.3,3,4.7,1,0
6,Thaddeus Young,IP,CI,29,7,7,237,36,60,2,7,5,13,22,32,54,10,12,6,7,22,79,0.6,0.286,0.385,33.8,11.3,7.7,1.4,1.7,0.9
7,Lance Stephenson,IP,CI,27,7,0,149,30,65,8,26,5,9,3,16,19,20,2,1,9,20,73,0.462,0.308,0.556,21.3,10.4,2.7,2.9,0.3,0.1
8,Cory Joseph,IP,CI,26,7,0,143,12,33,3,11,6,6,2,15,17,21,9,2,4,10,33,0.364,0.273,1,20.5,4.7,2.4,3,1.3,0.3
9,Trevor Booker,IP,CI,30,7,0,64,6,10,0,1,6,7,5,13,18,0,1,1,1,12,18,0.6,0,0.857,9.1,2.6,2.6,0,0.1,0.1
10,Glenn Robinson,IP,CI,24,2,0,6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,,,2.8,1,0.5,0,0,0
11,T.J. Leaf,IP,CI,20,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.7,0,0,0,0,0
12,Joe Young,IP,CI,25,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2.7,0,0,0,0,0
1,James Harden,HR,HM,28,5,5,179,46,112,20,52,33,38,3,21,24,37,12,6,14,12,145,0.411,0.385,0.868,35.7,29,4.8,7.4,2.4,1.2
2,Chris Paul,HR,HM,32,5,5,162,37,76,8,27,13,14,1,19,20,33,10,1,9,13,95,0.487,0.296,0.929,32.4,19,4,6.6,2,0.2
3,Clint Capela,HR,HM,23,5,5,155,35,52,0,0,9,18,24,47,71,7,1,10,2,9,79,0.673,,0.5,31.1,15.8,14.2,1.4,0.2,2
4,Eric Gordon,HR,HM,29,5,0,154,22,64,13,43,11,14,5,4,9,5,3,2,3,6,68,0.344,0.302,0.786,30.8,13.6,1.8,1,0.6,0.4
5,Trevor Ariza,HR,HM,32,5,5,173,17,46,12,34,9,14,1,19,20,7,6,0,1,11,55,0.37,0.353,0.643,34.6,11,4,1.4,1.2,0
6,Gerald Green,HR,HM,32,5,0,92,14,35,8,26,4,4,4,22,26,1,0,2,2,11,40,0.4,0.308,1,18.4,8,5.2,0.2,0,0.4
7,P.J. Tucker,HR,HM,32,5,5,134,10,28,9,23,2,3,0,14,14,3,0,5,3,12,31,0.357,0.391,0.667,26.8,6.2,2.8,0.6,0,1
8,Ryan Anderson,HR,HM,29,3,0,46,6,12,5,11,0,0,2,5,7,3,1,1,2,3,17,0.5,0.455,,15.3,5.7,2.3,1,0.3,0.3
9,Nene Hilario,HR,HM,35,5,0,59,6,9,0,0,3,7,4,12,16,3,0,3,2,8,15,0.667,,0.429,11.7,3,3.2,0.6,0,0.6
10,Joe Johnson,HR,HM,36,3,0,25,2,4,0,0,0,0,0,4,4,2,0,1,1,1,4,0.5,,,8.3,1.3,1.3,0.7,0,0.3
11,Zhou Qi,HR,HM,22,3,0,6,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,,,1.9,0.7,0.3,0,0,0
12,Aaron Jackson,HR,HM,31,4,0,8,0,1,0,1,1,2,0,1,1,1,0,0,1,1,1,0,0,0.5,2,0.3,0.3,0.3,0,0
13,Tarik Black,HR,HM,26,3,0,5,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,,,,1.5,0,0.7,0.3,0,0
14,Chinanu Onuaku,HR,HM,21,1,0,3,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,,,,3.2,0,1,1,1,0
